header_id;otu_number;silva_taxonomy;;;;;
OTU_8509;OTU_8508;Eukaryota(100);SAR(99.3);Stramenopiles(97.1);Ochrophyta(96.1);Diatomea(94.5);Bacillariophytina(92.3)
OTU_18843;OTU_18842;Eukaryota(100);SAR(98.7);Alveolata(98.2);Dinoflagellata(65);Dinophyceae(57.2);CCMP1878(15.7)
OTU_18842;OTU_18841;Eukaryota(100);Picozoa(25.1);Picomonadea(25.1);Picomonadida(25.1);Picomonadidae(25.1);Picomonas(25.1)
OTU_18841;OTU_18840;Eukaryota(100);SAR(84.7);Stramenopiles(69.4);Ochrophyta(66.3);Diatomea(61.2);Bacillariophytina(35)
OTU_18840;OTU_18839;Eukaryota(99.5);SAR(91.4);Stramenopiles(83.2);Ochrophyta(79.7);Raphidophyceae(74.7);Heterosigma(58)
OTU_18847;OTU_18846;Eukaryota(100);SAR(99.9);Stramenopiles(97.4);Ochrophyta(97.2);Diatomea(94.9);Bacillariophytina(94.6)
OTU_18846;OTU_18845;Eukaryota(100);Opisthokonta(95.7);Holozoa(95.7);Metazoa(95.5);Animalia(95.5);Arthropoda(87.2)
OTU_18845;OTU_18844;Eukaryota(100);SAR(98.6);Stramenopiles(98.1);Ochrophyta(97.7);Bolidomonas(22.8);unclassified
OTU_18844;OTU_18843;Eukaryota(99.9);SAR(90.4);Stramenopiles(86.8);Ochrophyta(84.6);Raphidophyceae(82);Heterosigma(34.6)
OTU_18849;OTU_18848;Eukaryota(100);Archaeplastida(32.9);Chloroplastida(29.2);Chlorophyta(28.6);Trebouxiophyceae(16.6);Pseudocharacium(15.1)
OTU_18848;OTU_18847;Eukaryota(100);SAR(93.3);Stramenopiles(91.1);Ochrophyta(67.3);Dictyochophyceae(52);Dictyochales(49.9)
OTU_45510;OTU_45506;Eukaryota(100);SAR(97.8);Alveolata(97.7);Ciliophora(97.6);Intramacronucleata(97.6);Spirotrichea(97.6)
OTU_8505;OTU_8504;Eukaryota(99.9);Archaeplastida(32.5);Chloroplastida(30);Chlorophyta(29.9);Trebouxiophyceae(24.3);Amphikrikos(3.5)
OTU_41496;OTU_41493;Eukaryota(100);SAR(95.5);Alveolata(95.2);Dinoflagellata(82.7);Dinophyceae(49.5);Gymnodiniphycidae(32)
OTU_41497;OTU_41494;Eukaryota(100);Archaeplastida(67.4);Chloroplastida(66.4);Chlorophyta(64.6);Chlorophyceae(42.2);Spermatozopsis(9.2)
OTU_41494;OTU_41491;Eukaryota(92.8);Archaeplastida(62.4);Chloroplastida(22.9);Chlorophyta(22.9);Trebouxiophyceae(14.1);Lagerheimia(5.6)
OTU_41495;OTU_41492;Eukaryota(100);Opisthokonta(94.8);Holozoa(94.7);Metazoa(94.7);Animalia(94.7);Arthropoda(62.3)
OTU_41492;OTU_41489;Eukaryota(99.6);Opisthokonta(53.5);Holozoa(53.4);Metazoa(53.3);Animalia(53.3);Arthropoda(48.7)
OTU_41493;OTU_41490;Eukaryota(99.8);SAR(39.8);Stramenopiles(22);Ochrophyta(15.4);Pinguiochrysidales(4);Polypodochrysis(3.1)
OTU_41490;OTU_41487;Eukaryota(99.5);Opisthokonta(75.4);Holozoa(74.8);Metazoa(71.4);Animalia(71.3);Arthropoda(66.9)
OTU_41491;OTU_41488;Eukaryota(100);Opisthokonta(56.9);Holozoa(56.9);Metazoa(55.1);Animalia(55.1);Arthropoda(32.3)
OTU_42615;OTU_42612;Eukaryota(100);Opisthokonta(99.5);Holozoa(99.5);Metazoa(99.5);Animalia(99.5);Mollusca(49.4)
OTU_42614;OTU_42611;Eukaryota(99.9);SAR(84.1);Alveolata(81);Ciliophora(78);Intramacronucleata(78);Spirotrichea(78)
OTU_42617;OTU_42614;Eukaryota(100);Archaeplastida(83.8);Chloroplastida(83.8);Chlorophyta(83.4);Chlorodendrales(35);Scherffelia(9.8)
OTU_42616;OTU_42613;Eukaryota(99.9);SAR(88.2);Alveolata(87.3);M2-18H10(58.2);unclassified;unclassified
OTU_42611;OTU_42608;Eukaryota(100);Opisthokonta(70.9);Holozoa(70.1);Metazoa(70.1);Animalia(70.1);Arthropoda(61.6)
OTU_42610;OTU_42607;Eukaryota(99.5);Opisthokonta(84.9);Holozoa(84.7);Metazoa(84.6);Animalia(84.6);Arthropoda(80)
OTU_41498;OTU_41495;Eukaryota(100);Archaeplastida(96.9);Chloroplastida(96.9);Chlorophyta(96.4);Prasinophytae(95.5);Pyramimonas(89.8)
OTU_41499;OTU_41496;Eukaryota(100);SAR(99);Alveolata(98.7);Dinoflagellata(97.6);Dinophyceae(94.5);SCM37C58(76.5)
OTU_49618;OTU_49614;Eukaryota(100);SAR(93.8);Alveolata(91.2);Dinoflagellata(84.9);Dinophyceae(77.6);Peridiniphycidae(66.3)
OTU_3079;OTU_3078;Eukaryota(100);SAR(90.6);Alveolata(89.9);Protalveolata(84);Syndiniales(84);Syndiniales_Group_II(83.1)
OTU_49619;OTU_49615;Eukaryota(100);SAR(99);Alveolata(98.1);Dinoflagellata(90.3);Dinophyceae(89.9);Peridiniphycidae(54.9)
OTU_3078;OTU_3077;Eukaryota(99.9);SAR(79.5);Alveolata(68.7);Dinoflagellata(64.8);Incertae_Sedis(27.6);Paulsenella(26.5)
OTU_41148;OTU_41145;Eukaryota(100);SAR(73.4);Alveolata(67.7);Protalveolata(50.9);Syndiniales(50.9);Syndiniales_Group_II(34.1)
OTU_41149;OTU_41146;Eukaryota(99.9);SAR(74);Alveolata(71.8);Dinoflagellata(50.5);Dinophyceae(40.7);BAQK03(34.7)
OTU_43279;OTU_43276;Eukaryota(100);Archaeplastida(88.7);Chloroplastida(88.7);Chlorophyta(88.1);Mamiellophyceae(82.8);Micromonas(70.7)
OTU_41144;OTU_41141;Eukaryota(99.7);Opisthokonta(74.9);Holozoa(74.9);Metazoa(74.6);Animalia(74.6);Arthropoda(70.3)
OTU_41145;OTU_41142;Eukaryota(100);Archaeplastida(75.3);Chloroplastida(75.3);Chlorophyta(74.8);Mamiellophyceae(51.3);Ostreococcus(18)
OTU_41146;OTU_41143;Eukaryota(99.8);SAR(84.5);Stramenopiles(78.1);Ochrophyta(70.1);Raphidophyceae(47.9);Heterosigma(31.6)
OTU_41147;OTU_41144;Eukaryota(99.9);SAR(85.4);Alveolata(51.7);Ciliophora(42.8);Intramacronucleata(42.4);Spirotrichea(42.3)
OTU_41140;OTU_41137;Eukaryota(100);Opisthokonta(90.2);Holozoa(90.1);Metazoa(90.1);Animalia(90.1);Arthropoda(72.4)
OTU_41141;OTU_41138;Eukaryota(99.9);Archaeplastida(43.9);Chloroplastida(41.9);Chlorophyta(41.2);Trebouxiophyceae(9.8);Coenocystis(1.4)
OTU_41142;OTU_41139;Eukaryota(100);SAR(72.7);Alveolata(70.3);Ciliophora(67.5);Intramacronucleata(67.5);Spirotrichea(67)
OTU_41143;OTU_41140;Eukaryota(100);SAR(99.7);Alveolata(99.6);Dinoflagellata(99);Dinophyceae(95);BAQK03(84.7)
OTU_49391;OTU_49387;Eukaryota(100);SAR(90.3);Stramenopiles(50.1);Peronosporomycetes(41.6);Olpidiopsis(29.7);unclassified
OTU_49390;OTU_49386;Eukaryota(100);SAR(61.9);Alveolata(61.2);Ciliophora(61);Intramacronucleata(61);Spirotrichea(60.8)
OTU_49393;OTU_49389;Eukaryota(100);SAR(95.8);Alveolata(93.8);Protalveolata(89.9);Syndiniales(89.4);Syndiniales_Group_II(61.3)
OTU_49392;OTU_49388;Eukaryota(100);SAR(98.2);Alveolata(97.7);Protalveolata(71.6);Syndiniales(70);Syndiniales_Group_III(58.4)
OTU_49395;OTU_49391;Eukaryota(100);SAR(93.7);Alveolata(81);Protalveolata(63.2);Perkinsidae(58.6);A31(51)
OTU_49394;OTU_49390;Eukaryota(99.8);SAR(78.7);Alveolata(70);Ciliophora(68.2);Intramacronucleata(68.1);Spirotrichea(67.8)
OTU_49397;OTU_49393;Eukaryota(100);Opisthokonta(91.7);Holozoa(91.7);Metazoa(91.3);Animalia(91.3);Arthropoda(87)
OTU_49396;OTU_49392;Eukaryota(99.8);SAR(82.7);Alveolata(80.1);Ciliophora(79.7);Intramacronucleata(79.7);Spirotrichea(79.7)
OTU_49399;OTU_49395;Eukaryota(100);SAR(96.9);Alveolata(96.8);Dinoflagellata(84.3);Dinophyceae(61.5);CCMP1878(8.8)
OTU_49398;OTU_49394;Eukaryota(100);SAR(85.1);Alveolata(85.1);Dinoflagellata(81.2);Incertae_Sedis(27.2);Blastodinium(27)
OTU_52425;OTU_52421;Eukaryota(100);SAR(93.4);Stramenopiles(73.1);Peronosporomycetes(64.1);Olpidiopsis(51.2);unclassified
OTU_52424;OTU_52420;Eukaryota(100);Haptophyta(98.4);Prymnesiophyceae(97.7);Prymnesiales(89.5);Chrysochromulina(58.4);unclassified
OTU_52423;OTU_52419;Eukaryota(100);SAR(98.9);Alveolata(97.5);Dinoflagellata(97.5);Dinophyceae(72.9);BAQK03(65.3)
OTU_52422;OTU_52418;Eukaryota(99.1);SAR(68.2);Alveolata(37.4);Ciliophora(36);Intramacronucleata(36);Spirotrichea(35.8)
OTU_39824;OTU_39821;Eukaryota(100);SAR(84.8);Alveolata(53.6);Dinoflagellata(48.7);Incertae_Sedis(44.7);Haplozoon(44.7)
OTU_39825;OTU_39822;Eukaryota(100);SAR(97.8);Stramenopiles(96.6);Ochrophyta(89.8);Diatomea(65.4);Bacillariophytina(58)
OTU_39826;OTU_39823;Eukaryota(100);SAR(88.6);Rhizaria(38.3);Cercozoa(38.3);Thecofilosea(27.8);Cryomonadida(27.8)
OTU_39827;OTU_39824;Eukaryota(100);SAR(96.6);Stramenopiles(69.8);Peronosporomycetes(48.5);Halophytophthora(30.7);unclassified
OTU_39820;OTU_39817;Eukaryota(100);SAR(85.7);Stramenopiles(82.7);MAST-12(79.2);MAST-12A(79.2);unclassified
OTU_39821;OTU_39818;Eukaryota(100);SAR(90.8);Stramenopiles(82.7);Ochrophyta(63.5);Bolidomonas(26.4);unclassified
OTU_39822;OTU_39819;Eukaryota(100);SAR(92.2);Alveolata(75.6);FV18-2D11(10.8);unclassified;unclassified
OTU_39823;OTU_39820;Eukaryota(100);SAR(83.9);Stramenopiles(68.7);Peronosporomycetes(14.6);Aplanopsis(10.8);unclassified
OTU_41468;OTU_41465;Eukaryota(100);SAR(96.6);Alveolata(94);Dinoflagellata(92.5);Dinophyceae(78.8);Peridiniphycidae(42.9)
OTU_39828;OTU_39825;Eukaryota(100);SAR(85.6);Rhizaria(40.3);Cercozoa(40.3);Incertae_Sedis(39.2);Gymnophrys(39.2)
OTU_39829;OTU_39826;Eukaryota(97.8);SAR(44);Stramenopiles(29.5);Placididea(14.8);unclassified;unclassified
OTU_43276;OTU_43273;Eukaryota(99.6);Opisthokonta(43);Holozoa(42.8);Metazoa(42.5);Animalia(42.5);Arthropoda(31.7)
OTU_41688;OTU_41685;Eukaryota(100);Cryptophyceae(94.2);Cryptomonadales(94.2);Teleaulax(67.6);unclassified;unclassified
OTU_21704;OTU_21703;Eukaryota(99.9);Archaeplastida(62.2);Rhodophyceae(51.1);Florideophycidae(48.2);Nemaliophycidae(24.6);Nothocladus(11.3)
OTU_21705;OTU_21704;Eukaryota(99.9);Cryptophyceae(83.9);Cryptomonadales(83.9);Plagioselmis(55.1);unclassified;unclassified
OTU_21706;OTU_21705;Eukaryota(100);SAR(99.1);Alveolata(99);Dinoflagellata(97.2);Dinophyceae(91.4);BAQK03(76.7)
OTU_21707;OTU_21706;Eukaryota(100);SAR(66.2);Stramenopiles(64.7);Incertae_Sedis(51.1);Pirsonia(51.1);unclassified
OTU_21700;OTU_21699;Eukaryota(100);SAR(99.7);Alveolata(99.5);Dinoflagellata(80);SCM15C8(35);unclassified
OTU_21701;OTU_21700;Eukaryota(100);SAR(87.7);Stramenopiles(75);Peronosporomycetes(25);Halophytophthora(19.2);unclassified
OTU_21702;OTU_21701;Eukaryota(100);Archaeplastida(69.2);Chloroplastida(62.5);Chlorophyta(62.5);Mamiellophyceae(18.2);Mamiella(10)
OTU_21703;OTU_21702;Eukaryota(100);SAR(99.5);Stramenopiles(99.2);Ochrophyta(96.2);Pelagophyceae(94.6);Sarcinochrysidales(94.6)
OTU_21708;OTU_21707;Eukaryota(100);Cryptophyceae(73.2);Cryptomonadales(73.2);Plagioselmis(22.7);unclassified;unclassified
OTU_21709;OTU_21708;Eukaryota(100);Archaeplastida(91.3);Chloroplastida(91.2);Chlorophyta(90.4);Mamiellophyceae(41.1);Ostreococcus(12)
OTU_30553;OTU_30550;Eukaryota(99.9);SAR(74.8);Alveolata(69.4);M2-18H10(16.4);unclassified;unclassified
OTU_30552;OTU_30549;Eukaryota(100);SAR(88);Alveolata(85.5);Dinoflagellata(69.8);Dinophyceae(69.2);Gymnodiniphycidae(55)
OTU_30551;OTU_30548;Eukaryota(100);Opisthokonta(92.3);Holozoa(87.5);Metazoa(86.7);Animalia(86.7);Rotifera(66.9)
OTU_30550;OTU_30547;Eukaryota(100);SAR(89.7);Alveolata(85.3);Dinoflagellata(79.2);Dinophyceae(75.7);Gymnodiniphycidae(59.1)
OTU_30557;OTU_30554;Eukaryota(100);SAR(84.9);Alveolata(55.7);Dinoflagellata(47.3);Dinophyceae(40.7);CCMP1878(10.8)
OTU_30556;OTU_30553;Eukaryota(100);SAR(98.6);Alveolata(95.8);Dinoflagellata(92.4);Dinophyceae(90.7);Gymnodiniphycidae(77.6)
OTU_30555;OTU_30552;Eukaryota(100);Opisthokonta(47.2);Nucletmycea(42.4);Fungi(38.7);Dikarya(35.4);Ascomycota(30.4)
OTU_30554;OTU_30551;Eukaryota(99.8);Archaeplastida(34.2);Chloroplastida(31.7);Charophyta(7.4);Klebsormidiales(2);Hormidiella(2)
OTU_30559;OTU_30556;Eukaryota(100);SAR(94.1);Alveolata(91.4);Dinoflagellata(80.2);Dinophyceae(72.6);Gymnodiniphycidae(50.8)
OTU_30558;OTU_30555;Eukaryota(100);Archaeplastida(99.6);Chloroplastida(99.6);Chlorophyta(99.6);Chlorophyceae(95.5);Monoraphidium(78.5)
OTU_34423;OTU_34420;Eukaryota(100);SAR(98.8);Alveolata(98.3);Dinoflagellata(94.3);Dinophyceae(92.3);Peridiniphycidae(49)
OTU_34422;OTU_34419;Eukaryota(100);Opisthokonta(98.9);Holozoa(98.9);Metazoa(98.9);Animalia(98.9);Arthropoda(68.6)
OTU_34421;OTU_34418;Eukaryota(100);SAR(99.7);Alveolata(99.5);Dinoflagellata(86.9);Dinophyceae(76.9);Prorocentrales(31.5)
OTU_34420;OTU_34417;Eukaryota(99.9);Opisthokonta(95.7);Holozoa(95.7);Metazoa(95.4);Animalia(95.4);Arthropoda(85.7)
OTU_34427;OTU_34424;Eukaryota(100);SAR(38.3);Rhizaria(23.8);Cercozoa(23.8);Imbricatea(19.2);Marimonadida(19.2)
OTU_34426;OTU_34423;Eukaryota(100);SAR(95.9);Alveolata(51.8);Protalveolata(26.1);Syndiniales(26);Syndiniales_Group_III(7.1)
OTU_34425;OTU_34422;Eukaryota(100);SAR(100);Alveolata(99.6);Dinoflagellata(78.6);Dinophyceae(75.8);Peridiniphycidae(29)
OTU_34424;OTU_34421;Eukaryota(100);Opisthokonta(90.1);Holozoa(90.1);Metazoa(89.9);Animalia(89.9);Arthropoda(88.5)
OTU_34429;OTU_34426;Eukaryota(99.9);SAR(40.1);Alveolata(16.2);M2-18H10(1.3);unclassified;unclassified
OTU_34428;OTU_34425;Eukaryota(100);SAR(78.9);Alveolata(66.1);Ciliophora(58.2);Intramacronucleata(58.2);Conthreep(57.7)
OTU_46804;OTU_46800;Eukaryota(100);Archaeplastida(99.4);Chloroplastida(99.4);Chlorophyta(99.4);Mamiellophyceae(98.9);Ostreococcus(79)
OTU_6982;OTU_6981;Eukaryota(100);Opisthokonta(100);Holozoa(100);Metazoa(100);Animalia(100);Annelida(68.9)
OTU_6983;OTU_6982;Eukaryota(100);SAR(99.6);Stramenopiles(95.6);Ochrophyta(94.8);Diatomea(73.7);Bacillariophytina(68.2)
OTU_6980;OTU_6979;Eukaryota(100);SAR(90.8);Stramenopiles(88.4);Ochrophyta(75.8);Dictyochophyceae(11.2);Florenciellales(7.1)
OTU_6981;OTU_6980;Eukaryota(100);SAR(97.8);Alveolata(72.8);Dinoflagellata(65.9);Dinophyceae(62.8);Gymnodiniphycidae(45.2)
OTU_6986;OTU_6985;Eukaryota(100);SAR(99.4);Alveolata(81.6);Protalveolata(55.4);Perkinsidae(55.4);A31(55.4)
OTU_6987;OTU_6986;Eukaryota(97.7);SAR(60.6);Alveolata(27.7);Dinoflagellata(19);Noctilucales(15.2);Abedinium(15.1)
OTU_6984;OTU_6983;Eukaryota(100);SAR(41);Alveolata(17.9);Dinoflagellata(7.6);Incertae_Sedis(6.1);Amyloodinium(6.1)
OTU_6985;OTU_6984;Eukaryota(100);SAR(99.8);Alveolata(99.7);Dinoflagellata(89.8);Dinophyceae(84.3);SL163A10(15.5)
OTU_6988;OTU_6987;Eukaryota(100);SAR(98.2);Stramenopiles(94.1);Ochrophyta(93.7);Diatomea(89.7);Bacillariophytina(85.1)
OTU_6989;OTU_6988;Eukaryota(99.4);SAR(31.8);Alveolata(11.4);Dinoflagellata(10);Incertae_Sedis(5.8);Amyloodinium(5.8)
OTU_2601;OTU_2601;Eukaryota(99.9);Opisthokonta(39.5);Holozoa(39);Metazoa(37.4);Animalia(37.4);Arthropoda(36)
OTU_2600;OTU_2600;Eukaryota(100);Opisthokonta(96.5);Holozoa(96.5);Metazoa(96.5);Animalia(96.5);Rotifera(77.8)
OTU_2603;OTU_2603;Eukaryota(100);SAR(93.2);Stramenopiles(76.4);Ochrophyta(62.4);Chrysophyceae(39.6);TKR07M.92(6)
OTU_2602;OTU_2602;Eukaryota(100);Opisthokonta(85.1);Holozoa(85);Metazoa(85);Animalia(85);Arthropoda(84.7)
OTU_2605;OTU_2605;Eukaryota(100);SAR(100);Alveolata(84.6);Dinoflagellata(84.6);Incertae_Sedis(83.1);Haplozoon(83)
OTU_2604;OTU_2604;Eukaryota(100);SAR(100);Alveolata(100);Dinoflagellata(100);Dinophyceae(99.9);Peridiniphycidae(99)
OTU_2607;OTU_2607;Eukaryota(100);Opisthokonta(37.4);Holozoa(36.5);Metazoa(36.5);Animalia(36.5);Cnidaria(36.5)
OTU_2606;OTU_2606;Eukaryota(99.4);Opisthokonta(80.1);Holozoa(79.7);Metazoa(79.7);Animalia(79.7);Arthropoda(59.6)
OTU_2609;OTU_2609;Eukaryota(100);SAR(53.6);Stramenopiles(53.4);MAST-2(53.3);unclassified;unclassified
OTU_2608;OTU_2608;Eukaryota(100);Opisthokonta(52.7);Holozoa(52.2);Metazoa(51.9);Animalia(51.9);Arthropoda(50.9)
OTU_39178;OTU_39175;Eukaryota(100);SAR(86.2);Stramenopiles(68.6);Placididea(39.4);unclassified;unclassified
OTU_39179;OTU_39176;Eukaryota(100);SAR(91.8);Alveolata(90.3);Protalveolata(87.2);Syndiniales(85);Syndiniales_Group_II(82.1)
OTU_38889;OTU_38886;Eukaryota(100);SAR(78.2);Stramenopiles(67.4);Peronosporomycetes(11.4);Aplanopsis(4.5);unclassified
OTU_38888;OTU_38885;Eukaryota(97.1);SAR(51.6);Alveolata(23.9);Dinoflagellata(20.7);Noctilucales(14);Abedinium(14)
OTU_38885;OTU_38882;Eukaryota(100);SAR(76.6);Alveolata(75);Dinoflagellata(64.2);Noctilucales(50.2);Noctiluca(50.2)
OTU_38884;OTU_38881;Eukaryota(100);SAR(96.2);Alveolata(53);Dinoflagellata(40.2);Noctilucales(35.3);Noctiluca(34.9)
OTU_38887;OTU_38884;Eukaryota(100);SAR(98.2);Stramenopiles(97.1);Ochrophyta(96.5);Diatomea(91.7);Bacillariophytina(81.4)
OTU_38886;OTU_38883;Eukaryota(100);SAR(96.1);Alveolata(95);Dinoflagellata(91.1);Noctilucales(80.6);Noctiluca(80.5)
OTU_38881;OTU_38878;Eukaryota(100);SAR(99.1);Alveolata(98.8);Dinoflagellata(94.7);Noctilucales(87);Noctiluca(85.8)
OTU_38880;OTU_38877;Eukaryota(100);SAR(99.5);Stramenopiles(98.7);Ochrophyta(96.3);Diatomea(89.8);Bacillariophytina(75.3)
OTU_38883;OTU_38880;Eukaryota(100);SAR(73.8);Rhizaria(29.6);Cercozoa(29.6);Incertae_Sedis(28.3);Gymnophrys(28.3)
OTU_38882;OTU_38879;Eukaryota(99.9);SAR(89.1);Stramenopiles(82.6);Ochrophyta(79.3);Chrysophyceae(74.5);LG01-09(40.3)
OTU_19929;OTU_19928;Eukaryota(99.9);SAR(98.4);Stramenopiles(97.4);Ochrophyta(91.7);Diatomea(81);Bacillariophytina(79.7)
OTU_19928;OTU_19927;Eukaryota(100);SAR(67.2);Stramenopiles(63.5);Ochrophyta(59);Diatomea(42.5);Bacillariophytina(40.3)
OTU_19927;OTU_19926;Eukaryota(100);Opisthokonta(88.5);Holozoa(88.5);Metazoa(88.1);Animalia(88.1);Arthropoda(56.1)
OTU_19926;OTU_19925;Eukaryota(100);Opisthokonta(99.8);Holozoa(99.7);Metazoa(99.7);Animalia(99.7);Arthropoda(38.2)
OTU_19925;OTU_19924;Eukaryota(100);Archaeplastida(27.9);Chloroplastida(27.9);Chlorophyta(27.2);Trebouxiophyceae(15);Micractinium(5.6)
OTU_19924;OTU_19923;Eukaryota(100);Opisthokonta(57.9);Holozoa(57.9);Metazoa(56.8);Animalia(56.7);Arthropoda(56)
OTU_19923;OTU_19922;Eukaryota(100);Opisthokonta(99.7);Holozoa(99.7);Metazoa(99.7);Animalia(99.7);Arthropoda(56.7)
OTU_19922;OTU_19921;Eukaryota(100);SAR(97.1);Alveolata(96.1);Ciliophora(96);Intramacronucleata(96);Spirotrichea(95.8)
OTU_19921;OTU_19920;Eukaryota(100);Opisthokonta(89.9);Holozoa(89.9);Metazoa(89.8);Animalia(89.8);Urochordata(73.8)
OTU_19920;OTU_19919;Eukaryota(100);Cryptophyceae(16.8);Kathablepharidae(16.6);Leucocryptos(16.6);unclassified;unclassified
OTU_673;OTU_673;Eukaryota(100);SAR(70.8);Alveolata(55.4);Dinoflagellata(37);Incertae_Sedis(25.4);Amyloodinium(12.5)
OTU_672;OTU_672;Eukaryota(100);SAR(99.3);Alveolata(99.3);Ciliophora(99);Intramacronucleata(99);Spirotrichea(99)
OTU_671;OTU_671;Eukaryota(100);Opisthokonta(100);Nucletmycea(100);Fungi(100);Dikarya(100);Ascomycota(100)
OTU_670;OTU_670;Eukaryota(100);Cryptophyceae(12.3);Cryptomonadales(11.7);Komma(5.9);unclassified;unclassified
OTU_677;OTU_677;Eukaryota(100);SAR(89.5);Alveolata(87.8);Ciliophora(87.6);Intramacronucleata(87.6);Spirotrichea(87.6)
OTU_676;OTU_676;Eukaryota(100);SAR(100);Alveolata(99.9);Ciliophora(99.9);Intramacronucleata(99.9);Spirotrichea(99.9)
OTU_675;OTU_675;Eukaryota(99.8);Opisthokonta(37.3);Nucletmycea(34.3);LKM15(32.5);unclassified;unclassified
OTU_674;OTU_674;Eukaryota(100);SAR(96.8);Stramenopiles(92.5);Ochrophyta(91.8);Diatomea(83.3);Bacillariophytina(82.9)
OTU_679;OTU_679;Eukaryota(100);SAR(100);Stramenopiles(99.9);Incertae_Sedis(99.1);Pirsonia(99.1);unclassified
OTU_678;OTU_678;Eukaryota(100);SAR(93.2);Stramenopiles(82);MAST-4(44.5);MAST-4D(44.5);unclassified
OTU_37022;OTU_37019;Eukaryota(100);Cryptophyceae(51.8);Cryptomonadales(50.4);Geminigera(17.9);unclassified;unclassified
OTU_37023;OTU_37020;Eukaryota(99.9);SAR(98);Alveolata(97.9);Ciliophora(97.4);Intramacronucleata(97.4);Spirotrichea(97.4)
OTU_37020;OTU_37017;Eukaryota(99.9);SAR(64.5);Alveolata(61.8);Ciliophora(61.6);Intramacronucleata(61.6);Spirotrichea(61.6)
OTU_37021;OTU_37018;Eukaryota(100);Cryptophyceae(19.3);Cryptomonadales(19.2);FV18-2G7(14.3);unclassified;unclassified
OTU_37026;OTU_37023;Eukaryota(99.2);Opisthokonta(71);Holozoa(71);Metazoa(69.2);Animalia(69.2);Arthropoda(67.2)
OTU_37027;OTU_37024;Eukaryota(100);SAR(99.9);Alveolata(99.8);Dinoflagellata(98);Dinophyceae(92.8);Dinophysiales(43.9)
OTU_37024;OTU_37021;Eukaryota(100);SAR(100);Alveolata(100);Dinoflagellata(98);Dinophyceae(83.8);Prorocentrales(35.9)
OTU_37025;OTU_37022;Eukaryota(99.8);Opisthokonta(64.9);Holozoa(64.4);Metazoa(64);Animalia(64);Arthropoda(59.8)
OTU_37028;OTU_37025;Eukaryota(100);Archaeplastida(99.7);Chloroplastida(99.6);Chlorophyta(99.6);Mamiellophyceae(99.3);Micromonas(92.8)
OTU_37029;OTU_37026;Eukaryota(100);SAR(99.1);Alveolata(99.1);Dinoflagellata(77.4);Dinophyceae(67.4);Gymnodiniphycidae(51.1)
OTU_40444;OTU_40441;Eukaryota(100);SAR(99.9);Stramenopiles(99.7);Ochrophyta(99.2);Diatomea(98.8);Coscinodiscophytina(49.5)
OTU_8318;OTU_8317;Eukaryota(100);Opisthokonta(83.4);Holozoa(83.2);Choanomonada(66.8);Craspedida(44.1);Monosigidae(44.1)
OTU_46805;OTU_46801;Eukaryota(100);SAR(98.1);Alveolata(98.1);FV18-2D11(81.4);unclassified;unclassified
OTU_38229;OTU_38226;Eukaryota(99.9);Opisthokonta(80.9);Holozoa(80.9);Metazoa(80.8);Animalia(80.8);Arthropoda(77.9)
OTU_36159;OTU_36156;Eukaryota(100);SAR(82.6);Alveolata(57.7);Dinoflagellata(47.7);Dinophyceae(44.2);Peridiniphycidae(34.7)
OTU_36158;OTU_36155;Eukaryota(100);Cryptophyceae(59.9);Cryptomonadales(59.4);Teleaulax(51.4);unclassified;unclassified
OTU_38221;OTU_38218;Eukaryota(100);Opisthokonta(43.1);Nucletmycea(41.8);Fungi(41.5);Dikarya(40.7);Basidiomycota(37.5)
OTU_38220;OTU_38217;Eukaryota(100);SAR(56);Alveolata(51);Ciliophora(50.6);Intramacronucleata(50.6);Spirotrichea(50.5)
OTU_38223;OTU_38220;Eukaryota(99.7);Opisthokonta(63.1);Holozoa(63.1);Metazoa(62.1);Animalia(62.1);Arthropoda(60.6)
OTU_38222;OTU_38219;Eukaryota(100);SAR(96.1);Alveolata(60.6);Dinoflagellata(56.3);Dinophyceae(40.3);Peridiniphycidae(29.8)
OTU_38225;OTU_38222;Eukaryota(100);SAR(73.6);Alveolata(66);Dinoflagellata(49.1);Incertae_Sedis(17.3);Paulsenella(10.8)
OTU_38224;OTU_38221;Eukaryota(99.7);Archaeplastida(67.7);Chloroplastida(67.1);Chlorophyta(39.9);Chlorophyceae(16.2);Podohedriella(6.1)
OTU_38227;OTU_38224;Eukaryota(99.6);Opisthokonta(60.2);Holozoa(60.1);Metazoa(59.6);Animalia(59.6);Arthropoda(59.3)
OTU_38226;OTU_38223;Eukaryota(100);Opisthokonta(99.7);Holozoa(99.7);Metazoa(99.7);Animalia(99.7);Arthropoda(99.3)
OTU_8724;OTU_8723;Eukaryota(100);SAR(98.3);Alveolata(92.1);Dinoflagellata(89.2);Dinophyceae(87);Peridiniphycidae(86.2)
OTU_8725;OTU_8724;Eukaryota(100);SAR(99.6);Stramenopiles(98.2);Ochrophyta(96.6);Diatomea(90.4);Bacillariophytina(86.7)
OTU_8726;OTU_8725;Eukaryota(100);Archaeplastida(60.9);Chloroplastida(56.5);Chlorophyta(56.5);Clade_VII(11.8);Subclade_B(11.3)
OTU_8727;OTU_8726;Eukaryota(100);Opisthokonta(69);Holozoa(67.4);Metazoa(66.8);Animalia(66.8);Arthropoda(63.6)
